message,timestamp,severity,tags,attributes
"scheduling build on Metal builder ""builder-zfktka""",2026-03-05T12:56:40.330939482Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
"scheduling build on Metal builder ""builder-dwjhes""",2026-03-05T12:56:49.263089703Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[snapshot] received sha256:5577f7e72a35276fc195edd40023b7d0dd086401f2d2e010bb454de23630b602 md5:5453ccaa4908bf7aed5520c9e5caa09f,2026-03-05T12:57:25.472077375Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
receiving snapshot,2026-03-05T12:57:25.472228745Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""duration_ms"":1989,""level"":""info"",""size"":9463841,""source"":""railway.progress"",""status"":""complete""}"
found 'railway.json' at 'railway.json',2026-03-05T12:57:25.627179531Z,debug,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""debug"",""source"":""railway.snapshot_analyze""}"
analyzing snapshot,2026-03-05T12:57:25.627409632Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""duration_ms"":154,""level"":""info"",""size"":9463841,""source"":""railway.progress"",""status"":""complete""}"
uploading snapshot,2026-03-05T12:57:25.892274964Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""duration_ms"":265,""level"":""info"",""size"":9463841,""source"":""railway.progress"",""status"":""complete""}"
fetched snapshot sha256:5577f7e72a35276fc195edd40023b7d0dd086401f2d2e010bb454de23630b602 (9.5 MB bytes),2026-03-05T12:57:33.224383320Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
fetching snapshot,2026-03-05T12:57:33.224515550Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""duration_ms"":396,""level"":""info"",""size"":9463841,""source"":""railway.progress"",""status"":""complete""}"
unpacking archive,2026-03-05T12:57:34.162143535Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""duration_ms"":208,""level"":""info"",""size"":14735360,""source"":""railway.progress"",""status"":""complete""}"
